Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm-rnd-yr)
Israel Abanikanda,RB,Pittsburgh,College Stats,5-10,216,,,,,,,
Yasir Abdullah,LB,Louisville,College Stats,6-1,237,4.47,36.5,,129,,,
Devon Achane,RB,Texas A&M,College Stats,5-9,188,4.32,33,,,,,
Jordan Addison,WR,USC,College Stats,5-11,173,4.49,34,,122,,,
Adetomiwa Adebawore,DE,Northwestern,College Stats,6-2,282,4.49,37.5,27,125,,,
Alan Ali,C,TCU,College Stats,6-4,301,,26.5,,,,,
Davis Allen,TE,Clemson,College Stats,6-6,245,,38.5,,125,,,
MJ Anderson,DE,Iowa St.,College Stats,6-3,269,,33,,,,,
Jake Andrews,C,Troy,College Stats,6-3,305,5.15,26,,102,,4.73,
Felix Anudike-Uzomah,EDGE,Kansas St.,College Stats,6-3,255,,,,,,,
Malaesala Aumavae-Laulu,OT,Oregon,College Stats,6-6,317,5.23,28.5,,106,7.65,4.75,
Alex Austin,CB,Oregon St.,College Stats,6-1,195,4.55,33,,122,,4.33,
Steve Avila,G,TCU,,6-4,332,5.21,29.5,,98,7.85,4.74,
Tyson Bagent,QB,Shepherd,,6-3,213,4.79,36,,120,6.95,4.36,
Henry Bainivalu,G,Washington,College Stats,6-6,306,5.5,28,,101,8.34,4.97,
Habakkuk Baldonado,EDGE,Pittsburgh,College Stats,6-4,251,4.78,35,21,120,7.11,4.44,
Deonte Banks,CB,Maryland,College Stats,6-0,197,4.35,42,,136,,,
Jeremy Banks,LB,Tennessee,College Stats,6-1,232,4.53,37.5,25,127,7.27,4.38,
Bryce Baringer,P,Michigan St.,College Stats,6-2,216,,,,,,,
Micah Baskerville,LB,LSU,College Stats,6-1,221,,31,,115,,,
TJ Bass,G,Oregon,,6-4,317,5.48,28.5,,109,,,
Jordan Battle,SAF,Alabama,College Stats,6-1,209,4.55,,17,,,,
Robert Beal,EDGE,Georgia,College Stats,6-4,247,4.48,30,,123,,,
Ronnie Bell,WR,Michigan,College Stats,6-0,191,4.54,38.5,14,120,6.98,4.15,
Jakorian Bennett,CB,Maryland,College Stats,5-11,188,4.3,40.5,13,133,,,
Stetson Bennett,QB,Georgia,College Stats,5-11,192,4.67,33.5,,118,,4.2,
Keeanu Benton,DT,Wisconsin,College Stats,6-4,309,5.08,29.5,25,111,7.34,4.65,
Matthew Bergeron,OT,Syracuse,College Stats,6-5,318,,30.5,,103,,,
Tank Bigsby,RB,Auburn,College Stats,6-0,210,4.56,32.5,,119,,,
Mekhi Blackmon,CB,USC,College Stats,5-11,178,4.47,36,11,125,,,
Jake Bobo,WR,UCLA,College Stats,6-4,206,,,,,,,
Kayshon Boutte,WR,LSU,College Stats,5-11,195,4.5,29,,118,,4.25,
Lance Boykin,CB,Coastal Carolina,College Stats,6-2,200,,,13,124,,,
Anthony Bradford,G,LSU,College Stats,6-4,332,5.08,30,,106,7.84,4.8,
Brian Branch,CB,Alabama,College Stats,6-0,190,4.58,34.5,14,125,,,
Julius Brents,CB,Kansas St.,College Stats,6-3,198,4.53,41.5,,138,6.63,4.05,
Bryan Bresee,DT,Clemson,College Stats,6-6,298,4.86,29,22,,,,
Nick Broeker,G,Mississippi,College Stats,6-4,305,5.27,,,,7.75,4.7,
Jalen Brooks,WR,South Carolina,College Stats,6-1,201,4.69,35,,130,7.15,4.31,
Myles Brooks,CB,Louisiana Tech,College Stats,6-1,201,,,,,,,
Matthew Brooks,P,Tennessee,,6-5,201,,,,,,,
Cameron Brown,CB,Ohio St.,College Stats,6-0,199,,,,,,,
Chase Brown,RB,Illinois,College Stats,5-10,209,4.43,40,,127,,,
Ji'Ayir Brown,SAF,Penn St.,College Stats,5-11,203,4.65,32.5,18,119,,,
Sydney Brown,SAF,Illinois,College Stats,5-10,211,4.47,40.5,23,130,,,
Jason Brownlee,WR,Southern Mississippi,,6-2,198,4.59,39.5,16,131,,,
Arquon Bush,CB,Cincinnati,College Stats,6-0,187,4.54,33.5,,115,,,
Jack Campbell,LB,Iowa,College Stats,6-5,249,4.65,37.5,,128,6.74,4.24,
Anders Carlson,K,Auburn,College Stats,6-5,218,,,,,,,
Jalen Carter,DT,Georgia,College Stats,6-3,314,,,,,,,
Zach Charbonnet,RB,UCLA,College Stats,6-0,214,4.53,37,,122,,,
Jerrod Clark,DT,Coastal Carolina,College Stats,6-4,334,5.25,27.5,,102,7.6,4.83,
Kei'Trel Clark,CB,Louisville,,5-10,181,4.42,34.5,,122,,4.21,
Keondre Coburn,DT,Texas,College Stats,6-2,332,5.22,27.5,24,101,,,
Chamarri Conner,SAF,Virginia Tech,College Stats,6-0,202,4.51,40.5,20,125,,,
Jacob Copeland,WR,Maryland,College Stats,5-11,201,4.42,33,20,127,7.01,4.47,
Brenton Cox,EDGE,Florida,College Stats,6-4,250,4.82,33,24,115,,,
Malik Cunningham,QB,Louisville,College Stats,6-0,192,4.53,,,,,,
McClendon Curtis,G,Tennessee-Chattanooga,,6-6,324,5.24,26.5,,105,7.7,4.97,
DJ Dale,DT,Alabama,College Stats,6-1,302,5.26,25.5,,98,7.69,4.8,
Braeden Daniels,OT,Utah,,6-4,294,4.99,30.5,,109,7.53,4.6,
Derius Davis,WR,TCU,College Stats,5-8,165,4.36,,,,,4.38,
