Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,STL,Sam Bradford,QB,22,2018,0,0,5,44,25,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma,College Stats,BradSa00
1,2,DET,Ndamukong Suh,DT,23,2022,3,5,12,100,59,199,0,0,0,0,0,0,0,0,0,0,0,392,1,71.5,Nebraska,College Stats,SuhxNd99
1,3,TAM,Gerald McCoy,DT,22,2021,1,6,10,69,65,140,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma,College Stats,McCoGe99
1,4,WAS,Trent Williams,T,22,2022,2,10,12,88,54,163,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,WillTr21
1,5,KAN,Eric Berry,DB,21,2018,3,5,5,50,50,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee,College Stats,BerrEr99
1,6,SEA,Russell Okung,T,21,2020,0,2,9,56,31,131,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.,College Stats,OkunRu20
1,7,CLE,Joe Haden,DB,21,2021,0,3,10,62,39,158,0,0,0,0,0,0,0,0,0,0,0,504,29,3,Florida,College Stats,HadeJo99
1,8,OAK,Rolando McClain,LB,21,2015,0,0,5,25,15,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5,Alabama,College Stats,McClRo00
1,9,BUF,C.J. Spiller,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson,College Stats,SpilC.00
1,10,JAX,Tyson Alualu,DT,23,2022,0,0,7,45,33,191,0,0,0,0,0,1,0,0,2,19,0,259,,25,California,College Stats,AluaTy99
1,11,SFO,Anthony Davis,T,20,2016,0,0,4,31,31,72,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers,College Stats,DaviAn27
1,12,SDG,Ryan Mathews,RB,22,2016,0,1,5,44,37,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,,Fresno St.,College Stats,MathRy00
1,13,PHI,Brandon Graham,DE,22,2022,0,1,6,57,57,178,0,0,0,0,0,0,0,0,0,0,0,333,,70,Michigan,College Stats,GrahBr99
1,14,SEA,Earl Thomas,DB,21,2019,3,7,9,82,76,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2,Texas,College Stats,ThomEa99
