Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ
1,1,LAR,Jared Goff,QB,21,2022,0,3,6,71,48,100,2250,3502,25854,155,70,209,474,10,1,5,0,2,,,California
1,2,PHI,Carson Wentz,QB,23,2022,0,1,6,59,43,93,2056,3284,22129,151,66,337,1362,10,2,11,0,1,,,North Dakota St.
1,3,SDG,Joey Bosa,DE,21,2022,0,4,6,49,49,84,0,0,0,0,0,0,0,0,0,0,0,221,,60.5,Ohio St.
1,4,DAL,Ezekiel Elliott,RB,21,2022,1,3,7,64,64,103,1,1,4,0,0,1881,8262,68,305,2336,12,2,,,Ohio St.
1,5,JAX,Jalen Ramsey,CB,21,2022,3,6,7,68,29,108,0,0,0,0,0,0,0,0,0,0,0,375,19,2,Florida St.
1,6,BAL,Ronnie Stanley,T,22,2022,1,1,5,43,43,74,0,0,0,0,0,0,0,0,0,0,0,1,,,Notre Dame
1,7,SFO,DeForest Buckner,DE,22,2022,1,2,7,63,35,112,0,0,0,0,0,0,0,0,0,0,0,287,,53,Oregon
1,8,TEN,Jack Conklin,T,22,2022,2,0,6,53,30,93,0,0,0,0,0,0,0,0,0,0,0,2,,,Michigan St.
1,9,CHI,Leonard Floyd,OLB,23,2022,0,0,7,48,22,104,0,0,0,0,0,0,0,0,0,0,0,207,2,47.5,Georgia
1,10,NYG,Eli Apple,CB,21,2022,0,0,5,27,9,88,0,0,0,0,0,0,0,0,0,0,0,273,5,,Ohio St.
1,11,TAM,Vernon Hargreaves III,CB,21,2021,0,0,4,18,10,69,0,0,0,0,0,0,0,0,0,0,0,245,4,,Florida
1,12,NOR,Sheldon Rankins,DT,22,2022,0,0,3,25,17,94,0,0,0,0,0,0,0,0,0,0,0,117,1,23.5,Louisville
1,13,MIA,Laremy Tunsil,T,22,2022,0,3,6,43,14,94,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi
1,14,OAK,Karl Joseph,S,22,2021,0,0,4,16,14,65,0,0,0,0,0,0,0,0,0,0,0,221,5,3,West Virginia
1,15,CLE,Corey Coleman,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor
1,16,DET,Taylor Decker,T,23,2022,0,0,6,41,41,97,0,0,0,0,0,0,0,0,3,15,2,,,,Ohio St.
1,17,ATL,Keanu Neal,S,21,2022,0,1,3,23,17,80,0,0,0,0,0,0,0,0,0,0,0,328,3,2.5,Florida
1,18,IND,Ryan Kelly,C,23,2022,0,3,7,47,47,97,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama
1,19,BUF,Shaq Lawson,DE,22,2022,0,0,1,22,14,93,0,0,0,0,0,0,0,0,0,0,0,114,1,25,Clemson
1,20,NYJ,Darron Lee,OLB,21,2020,0,0,3,19,17,58,0,0,0,0,0,0,0,0,0,0,0,178,3,4,Ohio St.
1,21,HOU,Will Fuller,WR,22,2021,0,0,5,24,24,55,0,0,0,0,0,4,6,0,213,3136,24,,,,Notre Dame
1,22,WAS,Josh Doctson,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU
1,23,MIN,Laquon Treadwell,WR,21,2022,0,0,2,8,5,76,0,0,0,0,0,0,0,0,110,1226,5,2,,,Mississippi
1,24,CIN,William Jackson III,CB,23,2022,0,0,4,19,15,75,0,0,0,0,0,0,0,0,0,0,0,170,5,1,Houston
1,25,PIT,Artie Burns,CB,21,2022,0,0,1,16,14,72,0,0,0,0,0,0,0,0,0,0,0,140,4,,Miami (FL)
1,26,DEN,Paxton Lynch,QB,22,2017,0,0,0,2,2,5,79,128,792,4,4,16,55,0,0,0,0,,,,Memphis
1,27,GNB,Kenny Clark,DT,20,2022,0,2,6,46,46,106,0,0,0,0,0,0,0,0,0,0,0,194,,26.5,UCLA
1,28,SFO,Joshua Garnett,G,22,2020,0,0,1,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford
1,29,ARI,Robert Nkemdiche,DT,21,2021,0,0,0,6,5,38,0,0,0,0,0,0,0,0,0,0,0,33,,4.5,Mississippi
1,30,CAR,Vernon Butler,DT,22,2022,0,0,2,13,8,77,0,0,0,0,0,0,0,0,0,0,0,58,,8,Louisiana Tech
1,31,SEA,Germain Ifedi,G,22,2022,0,0,4,37,29,102,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
2,32,CLE,Emmanuel Ogbah,DE,22,2022,0,0,5,33,15,92,0,0,0,0,0,0,0,0,0,0,0,151,,37,Oklahoma St.
2,33,TEN,Kevin Dodd,DE,24,2017,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,9,,1,Clemson
2,34,DAL,Jaylon Smith,OLB,21,2022,0,1,4,37,32,87,0,0,0,0,0,0,0,0,0,0,0,376,2,11,Notre Dame
2,35,SDG,Hunter Henry,TE,21,2022,0,0,5,26,17,89,0,0,0,0,0,0,0,0,287,3434,32,2,,,Arkansas
2,36,JAX,Myles Jack,OLB,21,2022,0,0,7,41,36,103,0,0,0,0,0,0,0,0,0,0,0,396,3,6.5,UCLA
2,37,KAN,Chris Jones,DT,22,2022,1,4,7,63,63,107,0,0,0,0,0,0,0,0,0,0,0,168,2,65,Mississippi St.
2,38,MIA,Xavien Howard,CB,23,2022,1,4,6,54,54,87,0,0,0,0,0,0,0,0,0,0,0,222,28,2,Baylor
2,39,TAM,Noah Spence,DE,22,2021,0,0,0,5,5,43,0,0,0,0,0,0,0,0,0,0,0,28,,7.5,East. Kentucky
2,40,NYG,Sterling Shepard,WR,23,2022,0,0,5,27,27,75,0,0,0,0,0,23,180,1,362,4038,22,3,,,Oklahoma
2,41,BUF,Reggie Ragland,ILB,22,2022,0,0,3,22,,79,0,0,0,0,0,0,0,0,0,0,0,175,1,3.5,Alabama
2,42,BAL,Kamalei Correa,DE,22,2020,0,0,1,11,3,63,0,0,0,0,0,0,0,0,0,0,0,57,,8.5,Boise St.
2,43,TEN,Austin Johnson,NT,22,2022,0,0,2,21,9,99,0,0,0,0,0,0,0,0,0,0,0,101,,8,Penn St.
2,44,OAK,Jihad Ward,DE,22,2022,0,0,2,16,6,85,0,0,0,0,0,0,0,0,0,0,0,69,,13,Illinois
2,45,TEN,Derrick Henry,RB,22,2022,1,3,4,57,57,102,5,6,23,2,0,1750,8335,78,127,1244,3,,,,Alabama
2,46,DET,A'Shawn Robinson,DT,21,2022,0,0,4,28,18,93,0,0,0,0,0,0,0,0,0,0,0,181,1,7,Alabama
2,47,NOR,Michael Thomas,WR,23,2022,2,3,4,57,57,73,0,0,0,0,0,2,-8,0,526,6121,35,1,,,Ohio St.
2,48,GNB,Jason Spriggs,T,22,2021,0,0,0,9,8,59,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana
2,49,SEA,Jarran Reed,DT,23,2022,0,0,6,39,28,106,0,0,0,0,0,0,0,0,0,0,0,152,,27,Alabama
2,50,HOU,Nick Martin,G,23,2022,0,0,4,29,27,83,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
2,51,NYJ,Christian Hackenberg,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.
2,52,ATL,Deion Jones,OLB,21,2022,0,1,5,41,39,96,0,0,0,0,0,0,0,0,0,0,0,453,12,11,LSU
2,53,WAS,Su'a Cravens,OLB,21,2018,0,0,0,5,4,16,0,0,0,0,0,0,0,0,0,0,0,35,1,1,USC
2,54,MIN,Mackensie Alexander,CB,22,2022,0,0,1,12,8,85,0,0,0,0,0,0,0,0,0,0,0,148,3,4.5,Clemson
2,55,CIN,Tyler Boyd,WR,21,2022,0,0,3,42,42,103,3,5,85,0,0,17,155,0,446,5333,29,1,,,Pittsburgh
2,56,CHI,Cody Whitehair,G,24,2022,0,1,7,40,40,107,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas St.
2,57,IND,T.J. Green,S,21,2021,0,0,0,6,5,41,0,0,0,0,0,0,0,0,0,0,0,73,,,Clemson
2,58,PIT,Sean Davis,CB,22,2021,0,0,3,18,18,70,0,0,0,0,0,0,0,0,0,0,0,201,5,2.5,Maryland
2,59,TAM,Roberto Aguayo,K,22,2016,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,,,Florida St.
2,60,NWE,Cyrus Jones,CB,22,2019,0,0,0,4,1,31,0,0,0,0,0,0,0,0,0,0,0,11,,,Alabama
2,61,NOR,Vonn Bell,S,21,2022,0,0,5,32,13,109,0,0,0,0,0,0,0,0,0,0,0,435,6,9.5,Ohio St.
2,62,CAR,James Bradberry,CB,23,2022,0,1,7,43,16,109,0,0,0,0,0,0,0,0,0,0,0,342,18,3,Samford
2,63,DEN,Adam Gotsis,DT,23,2022,0,0,3,24,15,104,0,0,0,0,0,0,0,0,0,0,0,117,,9.5,Georgia Tech
